PT,AU,TI,Z1,SO,S1,LA,DT,DE,ZK,Z5,AB,AK,Z4,RI,OI,U1,U2,PU,SN,PY,VL,IS,BP,EP,DI,EC,SC,UT,OA,HC,HP,DA,Column1
J,"ChangWookwon; Park, Seong-Woo; 여진원",A Study on the Development Plan for Public Libraries,공공도서관 발전방안에 관한 연구,Journal of the Korean Library and Information Science Society,한국문헌정보학회지,Korean,research-article,Public Library; Public Library Policy; Public Library System; Public Library Development Plan; Using Library,공공도서관; 공공도서관정책; 공공도서관제도; 공공도서관 발전방안; 도서관 이용,,"Public libraries are core organization of knowledge information and culture creation in the knowledge-based society in 21st century. The purpose of this study is to propose a development plan for public library as a user-friendly cultural space that provides service and utilization of efficient knowledge information resources. To achieve this goal, the study carried out a survey targeting 525 users of 21 public libraries members of Jeollanamdo education office. The results identified the perception gap in respect of operation satisfaction, creation of social capital, and area development contribution. This research also proposed an alternative approaches to overcome difficulties.","공공도서관은 21세기 지식기반사회에서 지식정보와 문화창조의 핵심기관이며 지식정보자원의 산실로서 그 기능과 역할을 수행해야 한다. 이 연구는 공공도서관의 효율적인 지식정보자원의 활용과 서비스를 위해 이용자 친화적인 문화공간으로서 발전방안을 제시하고자 한다. 이를 위해 전라남도 교육청 소속 21개 공공도서관을 대상으로 이용자 525명에 대해 설문조사를 실시하였다. 그 결과 운영만족도, 사회자본 창출, 지역발전 공헌도에 대한 인식의 차이가 있었으며 이를 극복하기 위한 대안을 제시하였다.",,,,1,1,한국문헌정보학회,1225-598X,2014,48,1,345,367,10.4275/KSLIS.2014.48.1.345,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001855929,Bronze,,,2021-11-13,
J,"Doh, Taehyeon",A Case Study for Public Library Service Development: focused on P Public Library in USA,공공도서관 서비스 개발을 위한 사례 연구,Journal of Korean Library and Information Science Society,한국도서관Â·정보학회지,Korean,research-article,Public Library; Library Service; Public Library Service,공공도서관; 도서관 서비스; 공공도서관 서비스,,"This study outlined the services of the P Public Library and some other libraries in California, USA for benchmarking to develop the public library services in Korea. To perform the role of public libraries and to assure the library users' supports in Korea, the development of following services are suggested in this study : 1) information services suited to information society 2) services to supply the public and lifelong education 3) services related to the cultural and artistic desires of the local community.","본 연구에서는 미국의 P공공도서관과 그 이웃한 몇몇 도서관들의 서비스 사례를 개관하고 이를 참고로 우리나라 공공도서관에 도입할 필요가 있다고 판단되는 서비스들을 제안하였다. 우리나라 공공도서관이 본질적 역할을 감당하고 지역 주민의 지원을 확보할 수 있기 위해 1) 정보사회의 환경에 상응하는 정보제공 서비스, 2) 학교 교육과 평생교육을 지원할 수 있는 서비스, 3) 주민들의 문화와 예술적 욕구를 충족시켜줄 수 있는 서비스의 개발을 제시하였다.",,,,0,4,Korean Library And Information Science Society,2466-2542,2006,37,3,131,150,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001023390,,,,2021-11-13,
J,"Lee, Seong-Sin",Public Library Service Positioning Strategy,공공도서관 서비스 포지셔닝 전략,Journal of Korean Library and Information Science Society,한국도서관Â·정보학회지,Korean,research-article,Public library service; Public library service positioning strategy; Public library user loyalty; Public library user market segmentation,공공도서관서비스; 공공도서관서비스 포지셔닝전략; 공공도서관 이용자충성도; 공공도서관 서비스이용자 시장세분화,,"The purpose of this study is to suggest public library service positioning strategies for the segmented markets according to public library service users’ loyalty. To achieve the study purpose, this study conducted interview with public library users. Qualitative method was utilized to analyze the data. The following public library service positioning strategies for the both segmented groups were suggested: 1) expanding of bookmobile service and utilization of shuttle bus, 2) regular and systematic user study, 3) diversification of public library service promotion methods, 4) user survey, 5) internal marketing, 6) increasing environmental quality of public library services, and 7) provision of reading programs for preschoolers, students, and their parents.","본 연구의 목적은 공공도서관 서비스이용자를 충성도에 따라 세분화하고 각 세분시장을 목표시장으로 하는 공공도서관서비스 포지셔닝전략을 탐색하는데 있다. 연구 목적을 달성하기위해 공공도서관 이용자를 대상으로 인터뷰를 진행하였으며 인터뷰결과는 질적 분석 방법으로 분석하였다. 분석결과를 바탕으로 공공도서관서비스에 대한 충성도가 낮은 집단에 제시된 포지셔닝전략은 첫째, 이동도서관서비스의 확대실시 및 셔틀버스의 활용, 둘째, 정기적이고 체계적인 이용자조사, 셋째, 공공도서관 서비스 홍보방식의 다양화, 넷째, 이용자조사를 통해 이용자가 원하는 자료 구비 등 이었다. 공공도서관 서비스에 대한 충성도가 높은 집단에 대한 포지셔닝전략은 첫째, 내부마케팅, 둘째, 도서관 시설 및 설비 품질의 일정 수준 유지, 셋째, 취학 전 아동 및 초, 중, 고등학생과 학부모를 위한 독서프로그램 기획 및 제공이었다.",,,,0,6,Korean Library And Information Science Society,2466-2542,2013,44,1,279,303,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001755742,,,,2021-11-13,
J,"Kim, Young-Seok",A Study on the Establishment of a Public Library in Mixed-Use Complex - Focused on Public Libraries in Seoul -,복합용도건축물 내 공공도서관 건립에 관한 연구 - 서울시 공공도서관을 중심으로 -,Journal of Korean Library and Information Science Society,한국도서관Â·정보학회지,Korean,research-article,Public library; Public library building; Public library construction; Mixed-use complex,공공도서관; 공공도서관 건축; 복합용도건축물,,"This study considers that the establishment of a public library within multi-use complex is one of the most effective ways to expand infrastructure of public libraries in Korea. A survey on the complexation rates of public libraries in Seoul was made through on-the-spot visits and telephone interviews. It turned out that out of all 112 public libraries in Seoul, 55 of them are in multi complex buildings. In order to efficiently establish public libraries to multi-use complex, absolute consideration on the size, location, and space should be made. Moreover, if necessary, additional complexation with commercial facilities, schools, and local government buildings should be made.","본 연구는 복합용도건축물 내에 공공도서관을 건립하는 것이 효율적인 공공도서관 인프라 확충 방안의 하나로 인식하였다. 서울에 있는 112개 모든 공립 공공도서관을 대상으로 도서관의 복합화 여부를 현장방문과 전화문의를 통해 조사하였다. 조사 결과 전체 도서관의 약 50%에 해당하는 55개 도서관이 복합건축물형이다. 복합용도건축물 내에 공공도서관을 효율적으로 설치하기 위해서는 도서관의 규모, 위치, 공간구성에 대해서 충분한 고려가 필요하겠다. 그리고 필요하다면 더 많은 상업시설, 학교시설 그리고 관시설과의 복합화가 필요하겠다.",,,,0,2,Korean Library And Information Science Society,2466-2542,2014,45,3,395,414,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001914850,,,,2021-11-13,
J,"Kim, Young-Seok",A Study on the Size of the Public Libraries in Korea,우리나라 공공도서관의 규모에 관한 연구,Journal of Korean Library and Information Science Society,한국도서관Â·정보학회지,Korean,research-article,Public library; Public library size; Public library floor space; Public ibrary building; Public library policy,공공도서관; 공공도서관 규모; 공공도서관 연면적; 공공도서관 건립; 공공도서관 건립정책,,"In terms of expanding the infrastructure of public libraries, building many small-size libraries is more efficiency than building a small number of big size libraries. Korean public libraries have been built in big-size in compare to the public libraries in the developed countries. This study aims to analyse why the majority of the Korean public libraries have been built in middle and large size and the floor space of 791 public libraries were examined. It was revealed that the average floor space of 791 public libraries is 2,495㎡. The study aims to find what policy on library building should be considered to expand effectively the infrastructure of public libraries.","대규모 도서관을 몇 개 건립하는 것보다 소규모 도서관을 많이 건립하는 것이 단기간에 공공도서관 인프라를 확충하는 데 효율적이다. 우리나라의 공공도서관은 선진국들과 비교해서 큰 규모로 건립되었다. 본 연구는 우리나라 공공도서관의 대부분이 중Â·대규모로 건립된 원인을 분석하고자 하였다. 이를 위해 2011년 12월 기준 우리나라 전체 791개 공공도서관의 연면적을 조사하였다. 우리나라 공공도서관의 평균 연면적은 2,495㎡로 나타났다. 본 연구는 도서관의 규모 측면에서 공공도서관의 효율적인 인프라 확충을 위해 고려해야할 도서관 건립 정책은 무엇인지를 파악하고자 하였다.",,,,0,1,Korean Library And Information Science Society,2466-2542,2013,44,2,377,398,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001781846,,,,2021-11-13,
J,"Koo, Joung Hwa; Cho, Yong-Wan",Trends in Public Library Design and Construction through Reviewing the Excellent Cases of the Awarded Library Buildings: Focusing on Public Libraries in North America,우수 사례 통해 본 공공도서관 건축 경향 분석 - 북미지역 공공도서관을 중심으로 -,Journal of the Korean Library and Information Science Society,한국문헌정보학회지,Korean,research-article,Public Library; Library Construction; Library Design; Public Libraries in North America,공공도서관; 도서관 건축; 도서관 디자인; 북미지역 공공도서관,,"The research aims to analyze the architectural trends of the public library buildings that have recently won the AIA/ALA Library Building Awards, ALA/IIDA Library Interior Design Awards or have introduced as excellent examples among the cases of new construction or remodeling of public libraries in North America. The research seeks to find the implications and guidelines for new constructions or remodeling of Korean public libraries by analyzing the main features of recently awarded library constructions, and to suggest the directions of public library constructions (or remodeling) to be opened in the future. The research found the six significant emergent themes by the content analysis and explained what each theme means with the examples of the libraries. On the basis of the findings, the research suggests the directions of public library designs and constructions in the future, and further follow-up research topics.",본 연구는 최근 북미지역의 공공도서관 신축과 리모델링을 한 사례들 중에서 우수 건축 및 디자인상을 수상하였거나 우수 사례로 소개된 건축물을 대상으로 건축 경향을 분석하였다. 이를 통해 국내 공공도서관의 신축과 리모델링 과정을 위한 시사점들을 도출하여 향후 개관될 공공도서관 건축의 방향성을 제시하고자 하였다. 총 90곳의 우수 도서관들의 주요 건축적 특징에 대한 내용분석을 통해 여섯 개의 건축 경향을 도출하고 각 건축 경향별로 구체적인 사례들을 검토하였다. 끝으로 본 연구는 도출된 주요 건축경향이 국내 공공도서관 신축 혹은 리모델링 과정에서 시사하는 점들을 제시하고 관련 후속연구를 위해 몇가지 사항들을 제언하였다.,,,,0,0,한국문헌정보학회,1225-598X,2021,55,1,181,208,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART002687118,,,,2021-11-13,
J,"HYUN, CHANG， DURK",Perceived Needs of Users toward Public Library Services in Busan,부산지역 공공도서관에 대한 이용자 인식과 요구 분석,Journal of the Korean Library and Information Science,한국문헌정보학회지,Korean,research-article,Public Library; Public Library Policy; Public Library Service,공공도서관; 공공도서관정책; 공공도서관 서비스,,"The study strives to shed a light on the users’ perception and demand on public libraries in Busan area through a survey asking the facility, materials and service conditions in public libraries. Data are drawn from a survey with three hundred respondents. The survey was implemented to figure out current status and needs regarding library facility, materials, and cultural programs. Supporting data are collected via interview as well. Since this paper discusses such an issue as current situation in public libraries, this study could provide the policy makers with basic information in developing and improving public library programs in Busan area.","이 연구에서는 부산지역 공공도서관 이용자들의 인식을 조사하여 현재 부산의 공공도서관 서비스의 현주소를 파악하고 공공도서관에 대한 이용자들의 요구를 분석하였다. 이를 위하여 부산지역 공공도서관 이용자 300명을 대상으로 공공도서관 이용 현황 및 공공도서관에 대한 지역 주민의 요구를 조사하였다. 결과적으로 공공도서관에 대한 부산시민들의 인식과 요구는 매우 높은 반면 부산의 부족하고 노후화된 도서관 시설이 요구를 감당하지 못하고 있는 것으로 나타났다. 따라서 공공도서관이 지역사회 문화공간으로서의 역할을 충실하게 수행하기 위해서는 접근이 용이한 생활권 중심의 공공도서관, 쾌적하고 편리한 공간, 신속한 장서 제공, 디지털서비스 확충과 역동적인 홍보정책 등이 필요한 것으로 파악되었다.",,,,0,0,한국문헌정보학회,1225-598X,2020,54,1,51,70,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART002560329,,,,2021-11-13,
J,"Kim, Sehun; Sim, Hyojung",A Study on the Consulting System for Establishing Public Library,공공도서관 건립․운영 컨설팅 서비스 구축 방안에 관한 연구,Journal of the Korean Library and Information Science Society,한국문헌정보학회지,Korean,research-article,Public Library; Public Library Establishment; Public Library Management; Library Consulting,공공도서관; 공공도서관 건립; 공공도서관 운영; 공공도서관 경영; 도서관 컨설팅,,"In order to fortify a professional approach in the construction of libraries, this study investigates library establishment procedures and examines problems which are raised in them. In so doing, it points to the necessities of professional consideration and engagement in the library construction and underlines a role of central government to support the process. As a way of supporting library construction, it suggests a consulting system which can provide practical support to those who are involved in the library establishment process.","본 연구의 목적은 공공도서관 건립과 관련하여 각 지방자치단체 도서관 건립 절차를 살펴보고, 이러한 과정에서 나타나는 문제점들은 무엇이며, 이러한 문제점들을 어떻게 해소할 수 있는지를 모색하는데 있다. 특히, 지방자치단체가 도서관 건립시 부딪히는 어려움을 경감시켜 줄 수 있는 방식 가운데 하나로 ‘도서관 건립 컨설팅’이라는 방식을 검토해 본다. 이를 위해 이 연구에서는 도서관 건립 및 운영계획 수립 과정을 분석하고 도서관 건립․운영계획 수립과 관련한 컨설팅 서비스 수요 분석, 도서관 건립지원과 관련된 국내외 사례, 도서관 건립․운영 지원을 위한 컨설팅 체계 구축 방안 등을 모색해 보았다.",,,,0,0,한국문헌정보학회,1225-598X,2009,43,1,87,111,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART001331773,,,,2021-11-13,
J,"Chang, Durk-Hyun; 강성권",Current Status and Issues in Public Library Advancement Plan of Busan Metropolitan City,부산지역 공공도서관 현황과 발전과제 분석,Journal of Korean Library and Information Science Society,한국도서관Â·정보학회지,Korean,research-article,Public library; Public library policy,공공도서관; 공공도서관정책,,"The study aims at illustrating the current state of public libraries in Busan metro area and to suggest strategies for the development of public libraries system in Busan. For this, the study collected data through the statistics and interviews with librarians and administrators. As a result, five goals have been suggested. Followings are the suggestions to improve the current state of the public libraries in Busan area. 1) New programs on lifetime information needs; 2) Initiatives for multicultural services in public libraries; 3) Continuous construction of new public libraries and renovation in older facilities; 4) Improvement of public library service environment, especially in personnel and collection development, and; 5) Support for the regional main library system.","이 연구에서는 부산광역시를 중심으로 공공도서관의 현황을 분석함으로써 부산지역 공공도서관의 현주소를 파악하고 공공도서관 확충과 발전을 위한 방향을 모색하고자 하였다. 구체적으로 이 연구에서는 공공도서관 관련 계획과 법령 등을 검토하여 지역별 수요를 감안한 바람직한 공공도서관 공급방안을 제시하고, 부산시 공공도서관 기능과 역할의 정립을 통해 공공도서관 발전을 위한 전략을 제시하고자 하였다. 이를 통하여 도서관법에서 요구하는 지역별 시행계획 수립을 위한 기초자료를 제공함으로써 지역도서관을 둘러싼 지식정보 환경의 변화에 효과적으로 대처하기 위한 중장기 발전전략 수립을 지원하고자 하였다.",,,,0,0,Korean Library And Information Science Society,2466-2542,2016,47,1,129,148,,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART002094700,,,,2021-11-13,
J,"Lee, Si-Young; ChangWookwon",A Study on Deduce Components of the Public Library Culture,공공도서관문화 구성요소 도출에 관한 연구,Journal of the Korean Library and Information Science Society,한국문헌정보학회지,Korean,research-article,Public Library; Cultural; Library Cultural; Public Library Cultural; Public Library Cultural’s Components,공공도서관; 문화; 도서관문화; 공공도서관문화; 공공도서관문화 구성요소,,"This study is to objectively deduce components of a public library culture and define a library culture. Thus, the study gathers the opinions and the experiences of the expertise in this specific area of a library culture. Furthermore, the study takes gathered informations and dates into consideration, to derive a measurement of final components, delphi technique. Through usage of Delphi technique, it allowed selected final components to operate a comparative analysis of the elements, which then it helps to measure each element’s critical importance, identify priorities of each element by using a hierarchical decision making method. The major conclusions of this study are as follows. First, the study used a two-step delphi survey which was conducted on a panel of experts (Faculty of Library and Information Science(LIS) and the librarians), deduced the components of a library culture. In the primary survey, the study found 29 components (material culture 6, non-material culture 23). In the secondary survey, it deduced 21 components (material culture 3, non-material culture 18). Second, through comparative analysis, the prioritization of the public library culture components presented in following orders, <cultural values>, <cultural behavior>, and <cultural materialism>. The Most weighted values of each components were, <cultural materialism> of ‘data usage and its method.’; <cultural values> of ‘core values of librarianship’; <cultural behavior> of ‘library ethical consciousness.’ appeared as such.","이 연구는 도서관문화의 정의를 규명하고, 공공도서관문화의 구성요소들을 객관적으로 도출하기 위한 것이다. 이를 위해 해당 분야의 전문가들의 생각과 경험을 수집한 뒤 그 내용을 수렴하여 최종 요소를 도출하는 델파이기법과 도출된 요소를 바탕으로 요소별 쌍대비교를 통해 요소간의 중요도 및 우선순위를 검증할 수 있는 계층적의사결정방법을 사용하였다. 델파이기법과 계층적의사결정방법에 의해 도출된 공공도서관문화 구성요소는 다음과 같다. 첫째, 전문가 패널(문헌정보학과 교수와 도서관 사서)을 대상으로 1․2차 델파이 조사를 실시하여 도서관문화 구성요소를 도출하였다. 1차 조사에서는 29개 요소(물질문화 6, 비물질문화 23)를 추출하였으며, 2차 조사에서는 21개 구성요소(물질문화 3, 비물질문화 18)를 도출하였다. 둘째, 공공도서관문화 구성요소를 쌍대비교를 통해 나타난 우선순위는 <정신문화>, <행동문화>, <물질문화>의 순으로 나타났다. 각 영역별 가중치가 가장 높은 요소로는 <물질문화>의 ‘자료 이용 및 이용법’. <정신문화>의 ‘사서의 가치관’, <행동문화>의 ‘도서관 윤리․의식’으로 나타났다.",,,,0,2,한국문헌정보학회,1225-598X,2016,50,4,97,120,10.4275/KSLIS.2016.50.4.097,Library and Information Science,Information Science & Library Science (provided by Clarivate Analytics),KJD:ART002170524,gold,,,2021-11-13,
