id,journal,publisher,publish_year,publish_month,category,title,title(eng),author,abstract,abstract(eng),citation_count,doi,uci
ART001484392,정보관리학회지,정보관리학회지,2010,9,문헌정보학,도서관에서 활용할 수 있는 10가지 방법에 대한대학도서관 사서의 인식에 관한 연구,A Study on the Awareness of Academic Librarians about “Ten Technology Ideas Your Library”,노동조(상명대학교);민숙희(상명대학교),"본 연구는 ALA의 American Libraries 웹사이트에서 제시한 도서관 서비스 향상과 직원의 커뮤니케이션 및 협력 증진에 활용할 수 있는 10가지 방법에 대한 국내 대학도서관 사서들의 인식을 조사한 것이다. 이를 위하여 국내 25개 대학도서관의 156명의 사서를 대상으로 설문조사를 실시하여 10가지 방법에 대한 각각의 필요성과 효과성, 난이성, 발전가능성 정도를 측정하였다. 본 연구의 결과는 다음과 같다. 첫째, 도서관에서 활용할 수 있는 10가지 방법 중에는 도서관 직원을 위한 지속적 기술훈련 프로그램 제공하기와 이용자에게 맞춤형 개인화서비스 제공하기, 이용자에 대한 도서관 공지사항을 문자메시지로 전송하기가 필요성과 효과성이 모두 높다. 둘째, 10가지 방법에 대한 난이도는 이용자에게 맞춤형 개인화서비스 제공하기와 특수주제별 위키 작성하기, 도서관 직원을 위한 지속적 기술훈련 프로그램 제공하기의 순으로 높다. 셋째, 10가지 방법에 대한 발전가능성은 도서관 직원을 위한 지속적 기술훈련 프로그램 제공하기와 도서관 홈페이지의 최신정보를 자동으로 트위터에 전송하기의 순이다.","In this study we determine the level of awareness among academic librarians of ten technological tools as outlined in American Libraries. Towards this end, we conducted a survey targeting 156 academic librarians in 25 Korean university libraries. Questionnaires were designed to determine both the viability and level of acceptance of the ten technological proposals in question. Conclusions drawn after analyzing the responses to the survey were as follows: 1) Customer service can be improved by first drawing up a list of technological skills required for staff members. Methods to develop the cataloging service to more closely match individual user preferences and the use of SMS to send alerts proved to be the proposals, of the ten that were proposed, that not only bore the greatest necessity but also proved to be the most effective once they were implemented. 2) Proposals that proved to be the most difficult to implement were: Using technology to improve the cataloging service to make it more capable of evolving according to the individual preferences of users; the special event wiki for users; and improvements in customer service arising from identifying and drawing up a list of technological skills required for staff members.",1,http://dx.doi.org/10.3743/KOSIM.2010.27.3.015,http://dx.doi.org/10.3743/KOSIM.2010.27.3.015
ART001484392,한국도서관·정보학회지,한국도서관·정보학회지,2010,9,문헌정보학,학교도서관의 새로운 평가지표 개발에 관한 연구,A Study on the New Evaluation Index of School Library,남영준(중앙대학교);정경애(중앙대학교),"이 연구는 지난 5년 동안 수행된 학교도서관 활성화사업의 결과로 거의 모든 학교에 도서관이 설치된 상황에서 미흡한 분야를 점검하고 앞으로 수행할 분야를 개발하여 학교도서관의 지속적 발전을 위한 방안을 모색하고자 학교도서관 평가지표를 개발하고자 하였다. 이를 위해 이 연구에서는 문화체육관광부의 2009년 평가지표, 교육과학기술부 정책연구 평가지표, 선행연구인 학교도서관의 BSC 성과지표, 한국도서관협회 학교도서관 평가기준을 분석하고 교육과학기술부의 2단계 학교도서관 진흥 기본 계획과 「학교도서관진흥법」, 교육과학기술부의 시․도교육청 평가지표를 분석함으로써 8개 영역 54개의 평가지표를 개발하였으며 최종적으로 8개 영역 48개의 평가지표를 제시하였다. 한편 이 연구에서 제시한 평가기준에 대한 신뢰성을 높이기 위해 분석결과에 대한 검증은 1차적으로 학교도서관 관련전문가를 통해 검토가 이루어졌다. 이 결과를 바탕으로, 2차 평가는 학교도서관 담당 교사를 통해 이루어져 전체적으로 연구한 평가지표에 대해서는 2단계 검증을 수행하였다.","The purpose of this study is to develop evaluation index for school library in order to find ways to continue the improvement of school library by examining deficient areas and developing necessary areas, in which almost every school have libraries as a result of school library promotion project for last five years. To fulfill this, the research analyzed 2009 evaluation of the Ministry of Culture, Sports, and Tourism(MCST), policy research evaluation index of the Ministry of Education, Science, and Technology(MEST), BSC product index of school library from preceding research, school library evaluation standard of Korean Library Association (KLA), two-phased base plan and school library promotion law of school library promotion of the MEST and evaluation index of municipal/province education agency of MEST, and thereby developed 54 evaluation index from 8 areas. The research ultimately presents 48 evaluation index from 8 areas. Also, analysis result was first verified by school library experts to increase credibility of the evaluation standard of the research. Based on the result, second evaluation was done by school library faculty staff, and thus went through two-phased verification process.",9,http://dx.doi.org/10.16981/kliss.41.3.201009.99,http://dx.doi.org/10.16981/kliss.41.3.201009.99
ART001484392,정보관리학회지,정보관리학회지,2010,12,문헌정보학,도서관 3.0의 개념과 서비스 모형에 관한 연구,A Study on Library 3.0 Concept and its Service Model,노영희(건국대학교),"웹 3.0의 개념과 실체에 대한 논의와 함께 도서관 3.0의 개념과 실체에 대한 논의도 최근 몇 년 동안 여러 학자들과 현장 전문가들에 의해 진행되어 온 것을 알 수 있다. 본 연구에서는 도서관 3.0을 바라보는 다양한 논의들을 분석하고 도서관 3.0의 개념을 정리하고자 하며, 이를 기반으로 한 도서관 3.0 서비스 모형을 제안하고자 한다. 본 연구에서 제안된 도서관 3.0 서비스의 키워드는 기계에 의한 데이터 처리가 가능한 시맨틱 웹 기술과 소셜 네트워킹 서비스가 전자도서관에 적용되어 ‘진정한 지식 공유 및 협업’이 가능한 소셜시맨틱디지털도서관, 도서관의 자원이 Linked Data가 되어 전 세계의 도서관이 연결된 구조의 링키드 도서관, 그리고 RFID 및 모바일기술이 적용된 유비쿼터스적 모바일 도서관이다.","Recently the concept of Library 3.0 and its substance have been discussed by scholars and specialists along with Web 3.0. This study aims to analyze the debates on Library 3.0 and review the concept of Library 3.0. In addition, this study proposes library 3.0 service model based on its analysis. The keywords of in the proposed Library 3.0 model in this study is the Social Semantic Digital Library(SSDL), the Linked Library, and the Mobile Library. First, the SSDL means a real knowledge sharing and cooperation by applying both semantic web technology that which can manage data by machines and social networking services into e-libraries. Second, the Linked Library indicates that library resources become linked data that link libraries in all over the world. Finally, the Mobile Library refers to ubiquitous library equipped with RFID and mobile technology.",19,http://dx.doi.org/10.3743/KOSIM.2010.27.4.283,http://dx.doi.org/10.3743/KOSIM.2010.27.4.283
ART001484392,Journal of Information Science Theory and Practice,Journal of Information Science Theory and Practice,2010,1,문헌정보학,공공도서관 자원봉사 표준매뉴얼 개발 연구,A Study on the Standard Manual for Volunteer Activity of Public Libraries,조찬식(동덕여자대학교);오지은(광진정보도서관 );오수진(성균관대학교 );이정효(동덕여자대학교);조미아(성균관대학교),"공공도서관 자원봉사가 활성화되고 효과적인 운영과 관리가 이루어지기 위해서는 공공도서관 자원봉사에 관한 표준매뉴얼의 개발에 대한 필요성이 대두되고 있다. 이에 본 연구는 공공도서관 자원봉사에 대한 개념 및 운영체계 그리고 표준매뉴얼에 관한 이론적 배경을 살펴본 후, 문헌조사를 통한 국내외 사례를 바탕으로 공공도서관 자원봉사를 기획부문, 자원봉사자 관리부문, 행정부문 등 3개 부문, 12개 영역, 6개 세부내용으로 나누어 조사ㆍ분석하고, 이를 바탕으로 공공도서관 자원봉사 표준매뉴얼을 개발함으로써 도서관 자원봉사의 운영 및 관리에 일조함에 그 목적이 있다.","In order to promote the volunteer activity management of public libraries, the need on the standard manual for volunteer activity of public libraries has become inevitably urgent. In this context, this study builds a theoretical background on the volunteer activity of public libraries, on its management and on its standard manual; examines the volunteer activity management of public libraries including its planning, personal management and administration; and classifies them into twelve domains and six work flows based on the literature review and case studies; and develops the standard manual for volunteer activity of public libraries. By so doing, this study aims at enhancing our understanding on the volunteer activity management of public libraries.",1,,
ART001484392,한국문헌정보학회지,한국문헌정보학회지,2010,2,문헌정보학,학교도서관 정보공시 실태 분석에 관한 연구,A Study on the Analysis of Information Disclosure in School Libraries,구중억(한국기초과학지원연구원),"본 연구는 초․중등학교의 학교도서관 관련 학교정보공시 실태를 분석하고 문제점을 파악하여 개선방안을 제안하기 위해 수행되었다. 이를 위해 미국의 학교성과보고서에서 도서관/미디어센터에 대한 정보공개 사례를 살펴보았고 우리나라의 학교정보공시제도 의미와 내용을 정리하였다. 그리고 학교도서관 관련 13개 공시범위를 대상으로 정보공시 실태와 문제점을 파악하고 비교를 통해 개선점을 분석하였다. 연구 결과, 교육주체들에게 학교정보공시를 통해 학교도서관 현황과 가치를 종합적으로 이해하기 쉽게 알리는 데는 공시양식 및 지침서와 학교알리미 서비스 수준이 미흡한 것으로 분석되었다. 이를 토대로, 학교도서관의 공시내용 추가, 공시정보의 가독성 및 활용성, 이용자 편리성, 공시업무 효율성 등에 초점을 두고 몇 가지의 개선방안을 제안하였다.","This study was conducted to propose the improvements by analyzing the actual state of Education Information Disclosure related to the school libraries of elementary and middle schools and by grasping its problems. In order to do that, we examined the Education Information Disclosure standards in school libraries in Korea. The actual state of information disclosure on 13 items related to school libraries was analyzed, using S High School in Seoul as a case study. In addition, in understanding the values of school libraries easily and informing them exactly through Education Information Disclosure, it was judged that the forms and guides for disclosure and the level of school introduction services were somewhat insufficient. On the basis of that, some improvements were proposed, which could help to make the operation and management of Education Information Disclosure in school libraries more efficient.",2,,
ART001484392,한국비블리아학회지,한국비블리아학회지,2010,3,문헌정보학,작은도서관의 효과적인 운영방안에 관한 연구 - 경기도 지역을 중심으로 -,A Study on the Effective Management Plan for Small Libraries: Focus on Gyeonggi Province,유양근(강남대학교);박송이(강남대학교),"본 연구는 지방자치단체의 “작은도서관 설치 및 운영 지원에 관한 조례”에서 규정한 작은도서관의 시설규정과 운영방식을 분석하고, 현재 작은도서관을 이용하고 있는 이용자들을 대상으로 서비스에 대한 만족도와 요구들을 조사, 분석하여 작은도서관의 효과적인 운영방안을 제시하는데 그 목적이 있다. 연구방법으로는 단행본․논문․법률자료․인터넷사이트 등을 이용한 문헌연구법과 만족도조사를 통한 설문지법을 병행하였다. 연구결과로 작은도서관의 효과적인 운영방안을 시설․자료․인력․프로그램․네트워크의 다섯 가지 영역으로 구분하여 제안하였다.","The purpose of this study is to analyze the local government's regulation on facilities and the operation method of the small library provided for in ‘the Ordinance on the Support for Installation and Operation of Small Libraries’, and investigate and analyze the satisfaction with the services and needs on the part of users of small libraries, thus suggesting an effective management plan for them. In this study, literature reviews and questionnaire surveys were conducted simultaneously using monographic publications, theses, legal materials and Internet sites. As for study results, an effective management plan for small libraries was suggested as follow with its division into five realms; that is, facilities, materials, manpower, programs and network.",23,,
ART001484392,한국비블리아학회지,한국비블리아학회지,2010,6,문헌정보학,지방자치단체의 공공도서관 정책 분석 - 중장기 계획과 담당 조직을 중심으로 -,A Study on the Public Library Policies of Local Governments,장지숙(교하도서관);이진우(교하도서관);차미경(이화여자대학교);송경진(이화여자대학교),"본 연구에서는 공공도서관이 지역사회 주민에게 다양한 측면의 혜택을 제공할 수 있도록 하기 위해서 지방자치단체가 어떤 내용의 도서관 관련 정책을 갖고 있으며 이를 구현하기 위하여 어떤 유형의 조직을 운영하고 있는가를 알아보고자 하였다. 이를 위하여 지방자치단체의 중장기계획과 업무계획 및 지방자치단체의 도서관 정책 담당 조직을 조사 분석하였다. 조사 결과 대부분의 지방자치단체들이 도서관 관련 계획을 갖고 있으나 정책전담부서를 설치한 곳은 매우 드물었다. 도서관정책의 내용은 도서관 건립에 편중되어있었으며, 공공도서관 건립, 작은도서관 조성 및 지원, 도서관 건립에 따른 사서인력 확충 계획, 도서관 협력시스템구축 여부, 도시 전체를 대상으로 하는 독서진흥시책 등이 포함되어 있었다.","The purpose of this study was to investigate how local governments implement and enforce library policies for their regional libraries to provide benefits to their com- munity residents. To this end, this study analyzed public library polices of regional governments in Korea with their long-term and annual plans. According to the results almost regional governments included plans for public libraries in their long-term plans, however, organizations exclusively responsible for libraries were very rare. Main components of the policy mostly related with establishing public libraries. In addition, creating and supporting a small library, a library of building workforce capacity planning librarians, library cooperation system, whether to target the entire city reading promotion policies were included in the policy.",9,,
ART001484392,Journal of Information Science Theory and Practice,Journal of Information Science Theory and Practice,2010,7,문헌정보학,국가과학도서관 건립 및 운영에 관한 고찰,A Study on the Building and Operating of the National Science Library,곽동철(청주대학교),"과학기술정보자원은 모든 연구개발의 동력에 해당되므로, 선진국들은 폭발적으로 늘어나는 자국 국민들의 과학기술정보자원의 수요에 적극 대응하고자 효율적인 지식정보인프라 구축 차원에서 국가과학도서관의 건립 및 운영을 필수불가결한 사항으로 인식하고 있다. 그동안 우리나라에서도 국가 대표 과학기술정보의 수집, 관리 및 유통 기관으로서 국내적 위상 제고와 국제적 경쟁력 확보를 위해 국가적 차원의 첨단연구정보 전진기지로서 국가과학도서관의 건립이 부단히 요청되어 왔다. 한 나라의 국가과학도서관은 국가 발전과 번영을 위해 핵심적인 과학기술지식정보 인프라로서, 새로운 지식정보의 생산능력은 이러한 인프라의 용량에 의존하며, 새로운 이론과 기술 및 새로운 비전의 창출은 그 기능에 달려 있는 것이다. 이는 국가적 차원에서 정보주권의 수호와 국가예산의 중복투자 지양이라는 관점에서다루어지면서, 동시에 충분한 지식정보의 확충을 기반으로 이용자가 만족할 수 있는 인프라로 개발 운영되어져야 하기 때문이다. 향후 우리나라가 지식정보사회에서 선진제국의 지식정보 식민지화나 과학기술 예속화를 지양하고, 과학기술산업 부문에서 국제경쟁력을 제고하기 위해서라도 이러한 도서관의 건립은 피할 수 없는 과제라고 하겠다. 따라서 본 논문에서는 그동안 국가차원에서 심각한 과학기술정보자원의 부족 및 정보서비스를 활성화하고자 몇 차례 시도된 바 있는 우리나라 국가과학도서관의 건립 및 운영을 연구의 목적으로 설정하고, 이를 달성하기 위해 다음과 같이 세부적으로 고찰하고자 한다. 첫째, 국가과학도서관 건립의 필요성을 살펴보고, 둘째, 그 기능 및 역할을 규명하며, 셋째, 지금까지 논의된 도서관 건립의 과정을 조사⋅분석하고, 넷째, 최근 국립 과학기술⋅농학⋅의학도서관 등 설립 추진 계획이나 세종시의 성격 변화와 같은 주변 환경 등의 변화를 고려하면서 향후 도서관 건립의 문제점 및 발전 방향을 도출하여 제시하고자 한다.","Science and technology information resources are major impetus for all research and development activities. Now countries around the world are seeking efficient and effective means to cope with the exponential growth of needs for science and technology information for research. In this context, it has been perceived vital to establish national infrastructures in order to extend the availability of world's science and technology information. In Korea, it has been a recurring issue to build a national science library to prevent knowledge colonization and to gain a competitive edge in the fields. It is essential to have one as a national information infrastructure to assume the role of developing a sustainable model for access to the world's science and technology information, providing permanent access to them. In this paper, therefore, some issues concerning building and managing a new national science library in Korea are examined. In doing so, the following details are dealt with in detail. First, the rationale behind building a national science library is described, Second, the functions and roles of the library are defined, Third, previous discussions and attempts to build a national science library are reviewed and analysed. Finally, possible problems and issues raised in relation to build a national science library are probed, and future directions are also suggested. In this process, the recent strategic plan for national science library, national agriculture library, and national medical library, and changing plan for Sejong city are taken into consideration as influencing factors.",1,,
ART001484392,한국문헌정보학회지,한국문헌정보학회지,2010,8,문헌정보학,지방자치단체 도서관 정책의 사도와 정도 - 도서관재단의 설립논의를 중심으로 -,The Wrong Path and the Right Path of Library Policy in Local Governments: Focusing on the Establishment of a Library Foundation,윤희윤(대구대학교),"공공도서관은 지역사회를 위한 지식정보의 센터인 동시에 게이트웨이이다. 따라서 자치단체의 재정지원으로 운영되어야 하며 행정당국이 도서관 정책문제를 책임져야 한다. 그러나 최근에 국내 공공도서관은 정체성과 공공성의 훼손, 경영관리의 아웃소싱 또는 위탁, 행정체계의 난맥, 외연확대와 같은 여러 정책적 도전에 직면하고 있다. 이 논문은 서울시와 인천시의 공공도서관 인프라 및 정책의 현주소를 분석하고 양대 자치단체의 도서관재단 설립과 경영위탁을 중심으로 자치단체 도서관정책의 사도와 정도를 제시하는데 목적이 있다.","The public library is the local centre and gateway of knowledge and information. Therefore, the library should be funded and operated by local government and the governing body will be responsible for matters of policy of the library. However, recently public libraries in Korea have faced enormous policy challenges such as the damage of its identity, outsourcing or contracting-out of management, and the general chaos of its administrative system. This paper aims to analyze the current level of infrastructure and policies of public libraries and to review the wrong path and the right path of library policies focused on establishing a library foundation and outsourcing library management in Seoul and Incheon.",2,,
ART001484392,한국문헌정보학회지,한국문헌정보학회지,2010,8,문헌정보학,대학도서관의 웹진 발행실태에 관한 연구,A Study on the State of Webzine Publications in Korean University Libraries,노동조(상명대학교);민숙희(상명대학교),"본 연구는 국내 259개 4년제 대학도서관 전체를 대상으로 전화면담과 도서관 웹사이트 조사를 통하여 도서관 웹진을 운영하고 있는 36개 대학도서관의 웹진 발행현황과 웹진의 구성 즉, 카테고리 및 콘텐츠의 내용을 비교분석하였다. 본 연구의 결과는 다음과 같다. 첫째, 대학도서관은 주로 온라인 웹 방식으로 웹진을 운영하고 있다. 둘째, 대학도서관 웹진의 카테고리 구성은 도서관 공지 및 소식, 학술 DB 활용, 신착도서, 추천도서, 정보 활용, 서평, 도서관 이용 Tip, 테마/특집, 서비스 정보, 퀴즈, 한마디(칼럼), 행사/이벤트의 12가지로 압축된다. 셋째, 카테고리 중에는 도서관 공지 및 소식을 제공하는 도서관이 가장 많으며, 다음은 서비스 정보, 도서관 이용 Tip, 테마/특집, 추천도서의 순이다.","The purpose of this study is to examine the current state of webzine publications in Korean university libraries. We assess the menu, composition and contents of various types of webzines at thirty six different Korean university libraries. Highlights of our survey include the following: 1) Most university libraries operate several different webzine sites. 2) Categories included in library webzines mainly include ‘Notices’, ‘Academic Database Information’, ‘Current Books’, ‘Recommended Reading’, ‘Utilization of Information’, ‘Book Review’, ‘Tips for Using the Library’, ‘Special Issues’, ‘Service Information’, ‘Quiz’, ‘Column’, ‘Special Events’. 3) Of these, the most popular categories were: ‘Notices’, ‘Service Information’, ‘Tips for Using the Library’, ‘Special Issues’, and ‘Recommended Reading’.",0,,
