author,title,publisher,keyword,abs,publish_year
"ChangWookwon; Park, Seong-Woo; 여진원",A Study on the Development Plan for Public Libraries,Journal of the Korean Library and Information Science Society,Public Library; Public Library Policy; Public Library System; Public Library Development Plan; Using Library,"Public libraries are core organization of knowledge information and culture creation in the knowledge-based society in 21st century. The purpose of this study is to propose a development plan for public library as a user-friendly cultural space that provides service and utilization of efficient knowledge information resources. To achieve this goal, the study carried out a survey targeting 525 users of 21 public libraries members of Jeollanamdo education office. The results identified the perception gap in respect of operation satisfaction, creation of social capital, and area development contribution. This research also proposed an alternative approaches to overcome difficulties.",2014
"Doh, Taehyeon",A Case Study for Public Library Service Development: focused on P Public Library in USA,Journal of Korean Library and Information Science Society,Public Library; Library Service; Public Library Service,"This study outlined the services of the P Public Library and some other libraries in California, USA for benchmarking to develop the public library services in Korea. To perform the role of public libraries and to assure the library users' supports in Korea, the development of following services are suggested in this study : 1) information services suited to information society 2) services to supply the public and lifelong education 3) services related to the cultural and artistic desires of the local community.",2006
"Lee, Seong-Sin",Public Library Service Positioning Strategy,Journal of Korean Library and Information Science Society,Public library service; Public library service positioning strategy; Public library user loyalty; Public library user market segmentation,"The purpose of this study is to suggest public library service positioning strategies for the segmented markets according to public library service users’ loyalty. To achieve the study purpose, this study conducted interview with public library users. Qualitative method was utilized to analyze the data. The following public library service positioning strategies for the both segmented groups were suggested: 1) expanding of bookmobile service and utilization of shuttle bus, 2) regular and systematic user study, 3) diversification of public library service promotion methods, 4) user survey, 5) internal marketing, 6) increasing environmental quality of public library services, and 7) provision of reading programs for preschoolers, students, and their parents.",2013
"Kim, Young-Seok",A Study on the Establishment of a Public Library in Mixed-Use Complex - Focused on Public Libraries in Seoul -,Journal of Korean Library and Information Science Society,Public library; Public library building; Public library construction; Mixed-use complex,"This study considers that the establishment of a public library within multi-use complex is one of the most effective ways to expand infrastructure of public libraries in Korea. A survey on the complexation rates of public libraries in Seoul was made through on-the-spot visits and telephone interviews. It turned out that out of all 112 public libraries in Seoul, 55 of them are in multi complex buildings. In order to efficiently establish public libraries to multi-use complex, absolute consideration on the size, location, and space should be made. Moreover, if necessary, additional complexation with commercial facilities, schools, and local government buildings should be made.",2014
"Kim, Young-Seok",A Study on the Size of the Public Libraries in Korea,Journal of Korean Library and Information Science Society,Public library; Public library size; Public library floor space; Public ibrary building; Public library policy,"In terms of expanding the infrastructure of public libraries, building many small-size libraries is more efficiency than building a small number of big size libraries. Korean public libraries have been built in big-size in compare to the public libraries in the developed countries. This study aims to analyse why the majority of the Korean public libraries have been built in middle and large size and the floor space of 791 public libraries were examined. It was revealed that the average floor space of 791 public libraries is 2,495㎡. The study aims to find what policy on library building should be considered to expand effectively the infrastructure of public libraries.",2013
"HYUN, CHANG， DURK",Perceived Needs of Users toward Public Library Services in Busan,Journal of the Korean Library and Information Science,Public Library; Public Library Policy; Public Library Service,"The study strives to shed a light on the users’ perception and demand on public libraries in Busan area through a survey asking the facility, materials and service conditions in public libraries. Data are drawn from a survey with three hundred respondents. The survey was implemented to figure out current status and needs regarding library facility, materials, and cultural programs. Supporting data are collected via interview as well. Since this paper discusses such an issue as current situation in public libraries, this study could provide the policy makers with basic information in developing and improving public library programs in Busan area.",2020
"Kim, Sehun; Sim, Hyojung",A Study on the Consulting System for Establishing Public Library,Journal of the Korean Library and Information Science Society,Public Library; Public Library Establishment; Public Library Management; Library Consulting,"In order to fortify a professional approach in the construction of libraries, this study investigates library establishment procedures and examines problems which are raised in them. In so doing, it points to the necessities of professional consideration and engagement in the library construction and underlines a role of central government to support the process. As a way of supporting library construction, it suggests a consulting system which can provide practical support to those who are involved in the library establishment process.",2009
"Chang, Durk-Hyun; 강성권",Current Status and Issues in Public Library Advancement Plan of Busan Metropolitan City,Journal of Korean Library and Information Science Society,Public library; Public library policy,"The study aims at illustrating the current state of public libraries in Busan metro area and to suggest strategies for the development of public libraries system in Busan. For this, the study collected data through the statistics and interviews with librarians and administrators. As a result, five goals have been suggested. Followings are the suggestions to improve the current state of the public libraries in Busan area. 1) New programs on lifetime information needs; 2) Initiatives for multicultural services in public libraries; 3) Continuous construction of new public libraries and renovation in older facilities; 4) Improvement of public library service environment, especially in personnel and collection development, and; 5) Support for the regional main library system.",2016
"Lee, Si-Young; ChangWookwon",A Study on Deduce Components of the Public Library Culture,Journal of the Korean Library and Information Science Society,Public Library; Cultural; Library Cultural; Public Library Cultural; Public Library Cultural’s Components,"This study is to objectively deduce components of a public library culture and define a library culture. Thus, the study gathers the opinions and the experiences of the expertise in this specific area of a library culture. Furthermore, the study takes gathered informations and dates into consideration, to derive a measurement of final components, delphi technique. Through usage of Delphi technique, it allowed selected final components to operate a comparative analysis of the elements, which then it helps to measure each element’s critical importance, identify priorities of each element by using a hierarchical decision making method. The major conclusions of this study are as follows. First, the study used a two-step delphi survey which was conducted on a panel of experts (Faculty of Library and Information Science(LIS) and the librarians), deduced the components of a library culture. In the primary survey, the study found 29 components (material culture 6, non-material culture 23). In the secondary survey, it deduced 21 components (material culture 3, non-material culture 18). Second, through comparative analysis, the prioritization of the public library culture components presented in following orders, <cultural values>, <cultural behavior>, and <cultural materialism>. The Most weighted values of each components were, <cultural materialism> of ‘data usage and its method.’; <cultural values> of ‘core values of librarianship’; <cultural behavior> of ‘library ethical consciousness.’ appeared as such.",2016
"Cho, Chansik",An Observation on the Public Relations of Public Libraries,Journal of the Korean Biblia Society for Library and Information Science,Public Library; Library Management; Public Relation of Public Libraries; Linkage System; Organizational Communication,"In order to reconstruct the concept on the public relations of public libraries, this study builds a theoretical background on the public relations of public libraries and tries to systemize the public relations of public libraries utilizing the Linkage System by Grunig & Hunt. Emphasizing the importance of the communication between the organization and its environment, Grunig & Hunt theoretically systemized the Linkage System of the organization. Adopting the Linkage System, this study tries to conceptualize the subjects, objects, directions, contents, and methods on the public relations of public libraries.",2010
