author,title,publisher,keyword,abs,publish_year
"Buschman, John","Public Libraries Are Doing Just Fine, Thank You: It's the Public in Public Libraries That is Threatened",CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,neoliberalism; public goods; public libraries; libraries; public libraries' support,"Public libraries have been rhetorically cast as being in crisis for decades as an outmoded, unaffordable institution in high-profile venues. However, when challenged as such, public libraries are vigorously defended, and an abundance of data on their actual popularity, usage, and value is deployed. We come to the question of why this mode of questioning persists despite the manifest value that the public places on public libraries. This article proposes a two-track answer by exploring (1) the long running context of neoliberalism and corrective to our understanding of it and (2) the status of publicness within neoliberalism. The article unpacks the concept of public and how it has changed and come under specific threat-informed by our more robust understanding of neoliberalism-over the last several decades. Data and arguments about public libraries and improved quality of life, community, cultural heritage, economic assistance during hard times, or their role as third places do not necessarily fall on deaf ears, but, to deploy a metaphor, those ears have been reengineered not to hear or value them.",2020
"Barclay, Donald A.",Space and the Social Worth of Public Libraries,PUBLIC LIBRARY QUARTERLY,Public libraries; library space; public library visits; value of public libraries,"In spite of the growth of digital information and the resultant questioning by some of the value of public libraries, library usage data indicate there were 497,600,000 more visits to public libraries in 2013 than in 1993. Why do people still visit public libraries in the digital age? While many factors drive people to visit public libraries, one thing that public libraries offer that cannot be duplicated online is physical space. Over the decades, library space has been the glue holding the library universe together even as the specific activities that take inside libraries have evolved. While public libraries do an excellent job of promoting their important role in providing access to information, educational resources, technology, and a host of valuable services, they must also promote the value of public library space itself. This requires more than trotting out numbers; it requires telling compelling stories of how public library space is used and reminding the public that the kind of spaces public libraries provide are, in fact, a vanishing resource. The post-911 tightening of security in public buildings of all sorts-coupled with the increasing privatization of what were once public spaces-has left public libraries as perhaps the last remaining indoor public spaces where an individual can remain from opening until closing without needing any reason to be there and without having to spend any money. Public libraries should promote the uniqueness of their spaces in much the same way that National Parks promote the unique spaces they preserve and make available to the public.",2017
"Widdersheim, Michael M.; Koizumi, Masanori",Conceptual modelling of the public sphere in public libraries,JOURNAL OF DOCUMENTATION,Public libraries; Politics; Public sphere; Library systems; Communication; Modelling,"Purpose - The purpose of this paper is to construct a conceptual model of the public sphere in public libraries. Various international authors over the past 20 years have associated the public sphere with public libraries, but these associations have yet to be clarified and synthesized in a comprehensive way. Design/methodology/approach - This study used qualitative content analysis to identify the dimensions of the public sphere in public libraries. The study's scope included annual reports from an urban US public library system from 1900 to 2010. Findings - Six dimensions of the public sphere in public libraries are described with examples. The dimensions are: core criteria; internal public sphere; external public sphere; collect and organize discourse; perform legitimation processes; and facilitate discourse. Three of these dimensions are newly identified. The six total dimensions are synthesized into a comprehensive conceptual model with three discourse arenas: governance and management; legitimation; and commons. Originality/value - This study is distinctive because it used a data-based, empirical approach to public libraries to an abstract sociological concept. Three dimensions of the model are new to library studies literature and therefore represent new potential areas of inquiry. The resulting conceptual model is useful for both practitioners and researchers in the public library sector. Further, the model contributes to existing social and political theory.",2016
"Jordan, Mary Wilkins",Competencies for public library managers: diversity in practice,LIBRARY MANAGEMENT,Leadership; Management; Public library; Public libraries; Competency development; Competencies,"Purpose - The purpose of this paper is to identify competencies in common across public library managers. Design/methodology/approach - The request for public library managers to participate in this survey was posted to the public listserve. Participants were asked about the tasks they do regularly, to identify the skills currently seen as most important in their work. They were then given a list of competencies, and asked to identify those they felt were most important for current public library managers, for those in future managers. Findings - Some commonalities emerged, but there was not a substantial amount of overlap between skills identified by directors and non-director managers as important now or into the future. Research limitations/implications - Further research into managerial competencies focussed on specific job titles is necessary to see what kinds of skills each may value. Likewise, a broader look at public library managers may provide a better set of common competencies that will be useful for both training and hiring. Practical implications - Understanding strategies for managerial competencies will be useful in building successful training programs. Social implications - Learning in this study that it will be challenging to carry out training relevant to all types of public library managers is useful; instead it can be tailored to different levels of managers for more success. Originality/value - This is an original study, building on other work the author has carried out. The value is in understanding the real needs of managers, not just anecdotal stories.",2015
"Fischer, Rachel K.",Human resource challenges for public libraries: survey results,PUBLIC LIBRARY QUARTERLY,Public library management; human resource management; public libraries; surveys,"This essay presents the major findings from a survey about human resource management in public libraries. The survey was conducted in October 2016 via the Internet. The participants were librarians with human resource management experience employed by public libraries in the United States. The majority of the participants responded that human resource management was challenging to some degree. While a majority were able to solve their human resource problems successfully, a majority of the respondents believed that the human resource curriculum for library science programs was inadequate.",2018
"Sikes, Scott",Rural Public Library Outreach Services and Elder Users: A Case Study of the Washington County (VA) Public Library,PUBLIC LIBRARY QUARTERLY,Rural public libraries; library outreach; elder users,"Outreach services provided by rural public libraries are crucial to fulfilling their mission to provide information access to the widest array of user groups. Particular socioeconomic and geographic factors in rural areas present challenges of access to information resources, yet there exists only a limited amount of published scholarly work examining outreach services provided specifically by rural public libraries. This case study of outreach services to elder users offers contextual evidence for the centrality of social equity and access to the larger work of rural public libraries. Primary data were collected through four semi-structured focus group meetings conducted with elder users of the agency's outreach services as well as through narrative interviews with six agency staff members. Principal findings showed that elder users had particular information needs related to entertainment and intellectual stimulation, challenges of transportation, and a limited access to technology and internet service. WCPL outreach services were found to positively impact the lives and general well-being of elder users by providing vital social and community connections and serving as a key link for elder users to an institution understood to be central to the life of the community in general.",2020
"Hoppenfeld, Jared; Malafi, Elizabeth",Engaging with entrepreneurs in academic and public libraries,REFERENCE SERVICES REVIEW,Academic libraries; Business; Library services; Public libraries; Entrepreneurship; Library resources,"Purpose - The purpose of this paper is to explore how academic and public libraries support entrepreneurial researchers and, in doing so, demonstrate impact and share best practices. Design/methodology/approach - The authors discuss their own experiences as academic and public business librarians who support entrepreneurs. They do so by revealing the main services they provide to this unique user group and presenting examples from their own institutions. They also present what is done at other libraries by way of a literature review and an informal survey. Findings - After navigating the landscape of business librarian support of entrepreneurs, many commonalities were found among the types of support offered. Most libraries in this study collaborate with a business incubator, center for entrepreneurship, office of economic development or small business development center in some fashion. Numerous outreach and networking efforts were found that had positive effects on the local and national economies. Although public and academic libraries have different base user groups, both types of libraries serve current and potential entrepreneurs, as well as students, who are looking for similar data in the same kinds of resources. Originality/value - Although specific examples can be found in the literature, little has been published that provides an overview of the entrepreneurial services and resources provided at numerous libraries of different types as well as resulting impact. This paper fills this gap and should provide new ideas to librarians of all kinds wishing to reach entrepreneurs.",2015
"Maciel Filho, Adalberto Rego",Social capital and Public Library: empirical studies,PERSPECTIVAS EM CIENCIA DA INFORMACAO,Social capital; Public Library; Public policies,"Empirical research articles are herein discussed concerning / analyzing the relationship between social capital and public libraries. The work reinforces the role of basic activities (core) of public libraries and to a lesser degree, the non-core in the process of creating social capital. It also investigates the influence of the social capital in quantity demanded of community library services. Suggestions are made for public policy to include the library as a protagonist in local/community development projects.",2010
"Flaherty, Mary Grace; Kaplan, Samantha Jan",Health information: print materials assessment in public libraries,REFERENCE SERVICES REVIEW,Public health; Public libraries; Information services; Health information; Assessment; Library materials,"Purpose - The purpose this study was to determine currency of print health materials readily available in North Carolina public libraries, through a statewide assessment. Two subject areas were examined: health reference and diabetes. Design/methodology/approach - In total, 30 randomly selected public libraries were visited and unobtrusive stacks assessments were completed. Some months later, the libraries' websites were examined for collection development policies, and online catalogs were searched using the keyword diabetes to identify possible discrepancies and additions. Findings - For visits, publication dates for reference books ranged from 1899-2014 and the average number of holdings was 10 (range 0-30). The most common reference item, the AMA Family Medical Guide (2005), was available in 6 of 30 libraries. In diabetes collections, publication dates ranged from 1983-2013; the average number of books was nine (range 0-26). The Atkins Diabetes Revolution (2004) was the most common, available in 9 of 30 libraries. Two-thirds of libraries did not have a collection development policy online. Catalog searches revealed 10 titles prior to 1983 and 18 titles (non-cook books) from 2014-2016. Practical implications - The study found overall that print health reference books were outdated. In diabetes collections, there were also many outdated items. It appears that regular weeding to assure currency of print health literature is not taking place. Originality/value - The study demonstrates that public libraries may not be providing optimal print health information. With unprecedented access, it is imperative that librarians in all types of settings aid in health literacy promotion by assuring access to reliable and timely health information.",2016
"Cottrill, Julia; Letelier, Fernando; Andrade Blanco, Pablo; Garcia, Henry; Chiranov, Marcel; Tkachuk, Yuliya; Liubyva, Tetiana; Crocker, Rachel; Vanderwerff, Matthew; Cistoviene, Giedre; Krauls-Ward, Ineta; Stratilatovas, Eugenijus; Mount, Dan; Kurutyte, Agniete; Triyono",From impact to advocacy: working together toward public library sustainability,PERFORMANCE MEASUREMENT AND METRICS,Sustainability; Impact; EU; Public libraries; Advocacy; Public library sustainability,"Purpose - The purpose of this paper is to outline the Bill & Melinda Gates Foundation's Global Libraries (GLs) initiative approach to advocacy and how it informs, guides, and integrates impact data to support sustainability of GL program results. Design/methodology/approach - The paper defines advocacy in the context of GL, and explores the GL grant planning process, tools, and collaboration between advocacy and impact specialists. Results are demonstrated through grantee examples that illustrate a variety of approaches to library advocacy using impact data at local, country, and regional levels. Findings - The paper demonstrates the importance of identifying community needs, designing impact measures to demonstrate how libraries help to address those needs, and the variety of ways impact evidence can be used to effectively advocacy for public libraries. This basic formula can be applied to advocacy efforts ranging from a broad national policy to a small incremental change in perceptions of libraries by local decision makers. Originality/value - This paper reinforces the essential link between library impact measurement data and successful advocacy.",2015
